"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
-0.08,-0.0748403820646029,0.105711129879689,0.245157894736842,0.291933
-1.08,0.0463314776400644,0.0336072911814947,0.248526315789474,-0.00290633333333333
-1.37,-0.285519381035096,-0.107296579650805,0.245473684210526,0.0560853333333333
0.58,-0.891905194488718,-0.423911834507395,0.229263157894737,-0.353187333333333
1.3,-0.00716680572854805,-0.161701948347649,0.235684210526316,0.0287279999999999
0.9,0.758469225761409,0.539873803427321,0.249473684210526,0.262261
0.56,0.630319316819648,0.481854536490303,0.254736842105263,0.389248666666667
1,0.441489546242796,0.441662434504635,0.258736842105263,0.591249333333333
1.53,0.637328533219202,0.587956640727215,0.265368421052632,0.591392666666666
0.86,0.96778191282753,1.01447337460356,0.276526315789474,0.894117333333331
1.76,0.667535459233516,0.670624476901331,0.282736842105263,0.564953666666667
0.86,1.09981203119829,0.955253425686072,0.289157894736842,0.806107666666665
0.66,0.760819825932389,0.710694200025079,0.292631578947368,0.749085333333333
0.69,0.556135609020331,0.422615074309544,0.298421052631579,0.784151666666665
0.57,0.541583159037247,0.564578672010728,0.299052631578947,0.673300666666666
1.25,0.486569057229629,0.562413557364982,0.300210526315789,0.616331
1.09,0.823453919936521,0.717999949789007,0.312105263157895,0.638845333333333
0.78,0.854004683641615,0.881428948837843,0.320631578947368,0.761307333333333
0.99,0.667415445979421,0.49515666184368,0.319473684210526,0.525820666666667
0.9,0.734013938980195,0.594039120827744,0.323052631578947,0.707090666666667
1.27,0.720878529054149,0.531539029544642,0.324,0.676115333333333
1.03,0.919046283661092,0.885918512806058,0.333368421052632,0.724044666666666
1.37,0.848472809449811,0.656319965876008,0.334842105263158,0.771343333333333
1.82,1.01597714527547,0.80682507624751,0.344105263157895,0.807035666666667
