"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
0.73,0.175900678518166,0.562973954168668,0.556421052631579,0.403114666666667
0.21,0.538267315138553,0.446797531311921,0.560105263157895,0.353083
-0.22,0.442661891512775,0.519125178011872,0.552210526315789,1.108279
-0.1,0.202088385210378,0.230804329865988,0.542947368421053,0.347216666666667
0.35,0.190682041279906,0.0920971168662578,0.537894736842105,0.0988276666666666
0.44,0.396060141165039,0.0570235093515767,0.53778947368421,0.201876
0.5,0.4782173125709,0.426531930253116,0.536842105263158,0.182144
-0.64,0.514214922099351,0.513758856081386,0.538736842105263,0.316807
0.28,0.0421445356256024,0.0970448300900209,0.526947368421053,-0.0610520000000001
-0.13,0.299802464801335,0.372774733509732,0.526526315789474,0.443386333333333
0.4,0.236533718056399,0.43359212770225,0.520947368421053,0.216525333333333
0.32,0.373361867716835,0.465481638960799,0.517473684210526,0.247382
0.62,0.42231313622783,0.526331353373434,0.514,0.342782
-0.02,0.525110239006856,0.485045287339005,0.517157894736842,0.301208666666667
1.19,0.317517149674592,0.398880568651239,0.503473684210526,0.715952666666667
0.76,0.630143381156153,0.622708493337373,0.506105263157895,0.574929333333333
0.51,0.730469404076368,0.418718249636012,0.510315789473684,0.204690333333334
-0.65,0.561266606214671,0.473617966341404,0.512105263157895,0.395006
-0.04,0.102509453589793,0.471177292632035,0.500526315789474,0.335575
0.39,0.110117942439331,0.441058408363929,0.495263157894737,0.419082666666667
0.39,0.377795390774279,0.504084977330535,0.495263157894737,0.417888333333333
-0.57,0.442356521664087,0.580823695204818,0.495052631578947,0.539153666666666
0.75,0.0890540583951993,0.447202217326215,0.484736842105263,0.583472333333334
0.36,0.393599875041356,0.599708421059396,0.487578947368421,0.703022333333333
