"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
0.21,0.0433084224979578,-0.0113083756554142,0.0732631578947368,0.231117666666666
0.04,0.0481346935666831,-0.259226720459953,0.0792631578947368,-0.608065333333333
-0.2,0.0808716813844456,0.329800256040726,0.0748421052631579,0.189589333333333
0.24,0.132202965158979,0.0148168975617811,0.0747368421052632,0.128576
0.75,0.0485083969345969,-1.35208909231206,0.0773684210526316,-0.0982393333333335
0.51,-0.0587239676165482,-0.0777801050731938,0.0836842105263158,0.0724883333333333
0.67,-0.000194889916194676,-0.0171279546706903,0.0891578947368421,0.148314333333333
0.15,0.0122056538105709,0.17991777817257,0.0958947368421053,0.417479333333333
0.21,0.0971488074197525,0.0942105263157895,0.0942105263157895,0.286235
0.29,0.0771951399837275,0.0931578947368421,0.0931578947368421,0.21581
0.39,0.0699575793844904,0.218650980313682,0.0958947368421053,0.227862
0.02,0.0649540051347406,0.104254449729981,0.100842105263158,0.237854
-0.13,0.120397280500749,0.274181125347968,0.1,0.163819333333333
-0.07,0.128093521847821,-0.197824919621856,0.0972631578947368,-0.117054333333333
0.08,0.116888318890918,0.164978719843649,0.0998947368421053,0.227246333333333
0.21,0.0980468391655079,0.137358356769211,0.0998947368421053,0.103675
-0.12,0.0840382661237063,0.209394470555526,0.100105263157895,0.190032
0.12,0.131375486323931,0.0938468044489787,0.0967368421052632,0.155213
0.23,0.0879386994429453,0.11705059184327,0.0977894736842105,0.142210333333333
0.07,0.0824254864319041,0.117703078221484,0.100631578947368,0.148522
0.54,0.108669486132392,0.0274892558328828,0.100526315789474,0.115622
0.09,0.0382023044613533,0.105123181407806,0.102,0.140222666666667
0.34,0.111848058760201,0.108684513706493,0.0951578947368421,0.230014333333333
1.05,0.0601665840987794,0.125390473154488,0.098421052631579,0.118145333333333
